name,playerID,goals
Sergio Romero,560,0
Matteo Darmian,557,0
Daley Blind,548,0
Chris Smalling,628,0
Luke Shaw,1006,0
Morgan Schneiderlin,551,0
Michael Carrick,654,0
Juan Mata,554,0
Memphis Depay,555,0
Ashley Young,631,0
Wayne Rooney,629,0
Ander Herrera,552,0
Antonio Valencia,627,0
Bastian Schweinsteiger,907,0
Michel Vorm,651,0
Kyle Walker,638,0
Toby Alderweireld,639,0
Jan Vertonghen,640,0
Ben Davies,660,0
Nabil Bentaleb,914,0
Eric Dier,643,0
Mousa Demb�l�,642,0
Christian Eriksen,646,0
Nacer Chadli,648,0
Harry Kane,647,0
Ryan Mason,649,0
Erik Lamela,644,0
Dele Alli,645,0
Artur Boruc,455,0
Simon Francis,456,0
Steve Cook,458,0
Tommy Elphick,457,0
Charlie Daniels,459,0
Matt Ritchie,461,0
Andrew Surman,460,0
Dan Gosling,462,0
Marc Pugh,466,0
Joshua King,465,0
Callum Wilson,468,0
Yann Kermorgant,957,0
Eunan O&#039;Kane,472,0
Max Gradel,464,0
Brad Guzan,662,0
Leandro Bacuna,674,0
Micah Richards,665,0
Ciaran Clark,875,0
Jordan Amavi,961,0
Idrissa Gueye,668,0
Ashley Westwood,669,0
Jordan Veretout,677,0
Jordan Ayew,672,0
Gabriel Agbonlahor,890,0
Scott Sinclair,679,0
Carlos S�nchez,667,0
Kieran Richardson,899,0
Rudy Gestede,671,1
Tim Howard,600,0
Seamus Coleman,585,0
Phil Jagielka,587,0
John Stones,586,0
Brendan Galloway,909,0
James McCarthy,589,0
Gareth Barry,590,0
Kevin Mirallas,595,0
Ross Barkley,592,1
Tom Cleverley,596,0
Romelu Lukaku,594,0
Arouna Kon�,601,1
Bryan Oviedo,598,0
Steven Naismith,824,0
Heurelho Gomes,564,0
Nyom,565,0
Sebastian Pr�dl,566,0
Craig Cathcart,581,0
Jos� Holebas,568,0
Ikechi Anya,577,0
Valon Behrami,570,0
Etienne Capoue,572,0
Miguel Lay�n,1016,1
Jurado,582,0
Troy Deeney,574,0
Ben Watson,571,0
Juan Carlos Paredes,578,0
